"date","series_id","value","realtime_start","realtime_end"
2019-01-01,"DTB3",NA,2026-03-11,2026-03-11
2019-01-02,"DTB3",2.37,2026-03-11,2026-03-11
2019-01-03,"DTB3",2.36,2026-03-11,2026-03-11
2019-01-04,"DTB3",2.37,2026-03-11,2026-03-11
2019-01-07,"DTB3",2.41,2026-03-11,2026-03-11
2019-01-08,"DTB3",2.41,2026-03-11,2026-03-11
2019-01-09,"DTB3",2.4,2026-03-11,2026-03-11
2019-01-10,"DTB3",2.38,2026-03-11,2026-03-11
2019-01-11,"DTB3",2.38,2026-03-11,2026-03-11
2019-01-14,"DTB3",2.4,2026-03-11,2026-03-11
2019-01-15,"DTB3",2.4,2026-03-11,2026-03-11
2019-01-16,"DTB3",2.38,2026-03-11,2026-03-11
2019-01-17,"DTB3",2.37,2026-03-11,2026-03-11
2019-01-18,"DTB3",2.36,2026-03-11,2026-03-11
2019-01-21,"DTB3",NA,2026-03-11,2026-03-11
2019-01-22,"DTB3",2.38,2026-03-11,2026-03-11
2019-01-23,"DTB3",2.36,2026-03-11,2026-03-11
2019-01-24,"DTB3",2.32,2026-03-11,2026-03-11
2019-01-25,"DTB3",2.34,2026-03-11,2026-03-11
2019-01-28,"DTB3",2.37,2026-03-11,2026-03-11
2019-01-29,"DTB3",2.37,2026-03-11,2026-03-11
2019-01-30,"DTB3",2.37,2026-03-11,2026-03-11
2019-01-31,"DTB3",2.36,2026-03-11,2026-03-11
2019-02-01,"DTB3",2.35,2026-03-11,2026-03-11
2019-02-04,"DTB3",2.37,2026-03-11,2026-03-11
2019-02-05,"DTB3",2.37,2026-03-11,2026-03-11
2019-02-06,"DTB3",2.37,2026-03-11,2026-03-11
2019-02-07,"DTB3",2.37,2026-03-11,2026-03-11
2019-02-08,"DTB3",2.38,2026-03-11,2026-03-11
2019-02-11,"DTB3",2.4,2026-03-11,2026-03-11
2019-02-12,"DTB3",2.38,2026-03-11,2026-03-11
2019-02-13,"DTB3",2.39,2026-03-11,2026-03-11
